date,service,region,instance_type,storage_type,usage_units,data_egress_gb,cpu_utilization,memory_utilization,active_users,cost_usd,anomaly_flag
2024-01-01,EC2,eu-west-1,t2.micro,,0.83,1.56,57.75,51.21,264,30.7,0
2024-01-01,S3,us-east-1,,Glacier,0.71,1.94,,,541,9.57,0
2024-01-01,RDS,us-west-2,t3.medium,,0.7,1.98,59.4,62.82,302,13.65,0
2024-01-01,Lambda,us-east-1,,,0.9,1.22,,,731,4.97,0
2024-01-01,DataTransfer,eu-west-1,,,1.02,7.85,,,612,13.74,0
2024-01-02,EC2,us-east-1,m5.large,,1.3,1.36,46.04,20.93,650,47.87,0
2024-01-02,S3,us-west-2,,IA,0.91,0.2,,,389,11.13,0
2024-01-02,RDS,eu-west-1,m5.large,,1.13,1.67,23.87,47.37,611,21.26,0
2024-01-02,Lambda,us-west-2,,,1.0,0.42,,,821,5.03,0
2024-01-02,DataTransfer,us-west-2,,,0.72,8.42,,,605,11.19,0
2024-01-03,EC2,us-west-2,t3.medium,,1.21,0.65,55.64,56.46,751,44.3,0
2024-01-03,S3,us-east-1,,IA,1.08,1.17,,,266,13.65,0
2024-01-03,RDS,us-east-1,t2.micro,,0.91,0.33,11.25,49.64,178,16.67,0
2024-01-03,Lambda,eu-west-1,,,1.27,1.41,,,724,6.87,0
2024-01-03,DataTransfer,eu-west-1,,,1.24,0.74,,,280,12.4,0
2024-01-04,EC2,eu-west-1,t2.micro,,1.14,0.66,15.08,41.77,777,41.8,0
2024-01-04,S3,us-west-2,,Glacier,1.09,0.77,,,992,13.68,0
2024-01-04,RDS,us-west-2,m5.large,,1.23,1.12,71.68,54.57,442,23.05,0
2024-01-04,Lambda,eu-west-1,,,1.0,0.05,,,510,4.89,0
2024-01-04,DataTransfer,eu-west-1,,,0.72,6.36,,,613,10.21,0
2024-01-05,EC2,us-west-2,t2.micro,,0.87,0.82,70.44,36.02,209,32.43,0
2024-01-05,S3,eu-west-1,,IA,1.32,1.25,,,623,16.69,0
2024-01-05,RDS,us-east-1,t2.micro,,1.31,1.61,24.93,82.48,380,24.79,0
2024-01-05,Lambda,us-west-2,,,0.79,0.71,,,239,4.19,0
2024-01-05,DataTransfer,us-east-1,,,0.89,6.48,,,682,11.93,0
2024-01-06,EC2,us-east-1,m5.large,,0.7,1.02,43.39,35.55,868,19.93,0
2024-01-06,S3,eu-west-1,,Glacier,0.93,1.04,,,282,9.03,0
2024-01-06,RDS,us-east-1,t3.medium,,1.38,1.92,30.14,54.81,162,19.98,0
2024-01-06,Lambda,us-east-1,,,0.9,0.07,,,162,3.34,0
2024-01-06,DataTransfer,us-west-2,,,1.05,0.51,,,785,7.99,0
2024-01-07,EC2,eu-west-1,t3.medium,,0.8,0.98,88.85,36.94,885,22.65,0
2024-01-07,S3,eu-west-1,,Standard,1.21,0.74,,,933,11.52,0
2024-01-07,RDS,us-west-2,t3.medium,,0.98,1.63,73.87,30.55,236,14.35,0
2024-01-07,Lambda,us-west-2,,,1.19,1.72,,,813,5.23,0
2024-01-07,DataTransfer,eu-west-1,,,0.85,7.11,,,560,9.85,0
2024-01-08,EC2,eu-west-1,t2.micro,,1.18,0.77,84.94,29.63,522,44.17,0
2024-01-08,S3,eu-west-1,,IA,1.19,0.46,,,193,14.86,0
2024-01-08,RDS,us-west-2,t2.micro,,1.06,0.52,89.7,87.58,502,19.9,0
2024-01-08,Lambda,us-east-1,,,1.32,0.38,,,282,6.69,0
2024-01-08,DataTransfer,eu-west-1,,,1.19,8.47,,,453,15.97,0
2024-01-09,EC2,us-east-1,m5.large,,1.35,1.57,63.52,60.65,161,51.07,0
2024-01-09,S3,eu-west-1,,Standard,0.7,0.32,,,387,8.86,0
2024-01-09,RDS,us-west-2,t3.medium,,1.01,1.99,24.07,21.27,447,19.81,0
2024-01-09,Lambda,us-east-1,,,0.83,0.73,,,441,4.45,0
2024-01-09,DataTransfer,eu-west-1,,,1.2,3.08,,,737,13.46,0
2024-01-10,EC2,eu-west-1,t3.medium,,0.89,0.49,87.84,47.52,487,33.22,0
2024-01-10,S3,eu-west-1,,IA,0.95,1.29,,,928,12.37,0
2024-01-10,RDS,us-east-1,t2.micro,,0.86,1.0,55.76,73.8,561,16.53,0
2024-01-10,Lambda,us-east-1,,,1.4,0.94,,,95,7.4,0
2024-01-10,DataTransfer,us-east-1,,,1.32,7.48,,,86,16.83,0
2024-01-11,EC2,us-east-1,t3.medium,,1.38,1.93,78.24,40.61,977,52.39,0
2024-01-11,S3,eu-west-1,,IA,1.09,1.87,,,619,14.51,0
2024-01-11,RDS,eu-west-1,t3.medium,,0.77,1.23,89.2,29.81,204,14.96,0
2024-01-11,Lambda,us-west-2,,,1.31,1.48,,,978,7.29,0
2024-01-11,DataTransfer,us-east-1,,,1.19,3.59,,,526,13.67,0
2024-01-12,EC2,us-west-2,m5.large,,0.88,1.22,16.53,20.36,85,33.57,0
2024-01-12,S3,us-east-1,,IA,1.26,1.78,,,520,16.59,0
2024-01-12,RDS,eu-west-1,t3.medium,,0.77,1.16,12.88,52.59,624,14.93,0
2024-01-12,Lambda,us-west-2,,,0.9,1.18,,,391,5.09,0
2024-01-12,DataTransfer,us-east-1,,,0.73,8.23,,,103,11.37,0
2024-01-13,EC2,us-east-1,t2.micro,,1.28,0.54,87.22,52.01,823,36.35,0
2024-01-13,S3,us-west-2,,Glacier,1.19,0.28,,,705,11.32,0
2024-01-13,RDS,us-east-1,t3.medium,,1.06,0.65,73.61,38.96,653,15.29,0
2024-01-13,Lambda,us-west-2,,,0.75,0.05,,,166,2.86,0
2024-01-13,DataTransfer,us-west-2,,,1.29,6.96,,,690,13.14,0
2024-01-14,EC2,us-east-1,m5.large,,0.88,1.1,67.17,66.21,934,25.31,0
2024-01-14,S3,us-east-1,,Glacier,1.16,0.87,,,910,11.37,0
2024-01-14,RDS,eu-west-1,m5.large,,0.87,0.71,70.63,21.01,269,12.71,0
2024-01-14,Lambda,us-east-1,,,0.77,0.62,,,502,3.2,0
2024-01-14,DataTransfer,us-west-2,,,1.23,8.07,,,661,13.35,0
2024-01-15,EC2,us-west-2,t2.micro,,0.98,1.23,60.81,23.17,272,67.78,1
2024-01-15,S3,eu-west-1,,IA,1.05,1.08,,,565,13.79,0
2024-01-15,RDS,eu-west-1,t3.medium,,0.72,1.17,85.22,60.28,739,14.18,0
2024-01-15,Lambda,eu-west-1,,,1.15,0.92,,,740,6.26,0
2024-01-15,DataTransfer,eu-west-1,,,1.36,3.86,,,466,15.64,0
2024-01-16,EC2,eu-west-1,t2.micro,,0.75,0.2,11.46,26.61,84,28.51,0
2024-01-16,S3,us-west-2,,Standard,1.29,0.05,,,467,16.36,0
2024-01-16,RDS,eu-west-1,t2.micro,,1.05,1.39,37.87,85.57,425,20.57,0
2024-01-16,Lambda,us-east-1,,,1.26,0.56,,,443,6.67,0
2024-01-16,DataTransfer,us-east-1,,,1.23,8.07,,,738,16.44,0
2024-01-17,EC2,us-west-2,t2.micro,,1.24,0.68,84.46,80.09,418,47.69,0
2024-01-17,S3,eu-west-1,,Standard,0.87,0.76,,,930,11.38,0
2024-01-17,RDS,us-west-2,t2.micro,,0.92,1.79,41.14,20.76,282,18.49,0
2024-01-17,Lambda,eu-west-1,,,0.76,0.64,,,767,4.2,0
2024-01-17,DataTransfer,eu-west-1,,,1.37,5.73,,,416,16.73,0
2024-01-18,EC2,us-east-1,m5.large,,1.12,1.11,27.02,86.23,193,43.4,0
2024-01-18,S3,us-east-1,,Standard,1.05,0.12,,,272,13.38,0
2024-01-18,RDS,us-west-2,t2.micro,,1.22,1.09,66.47,87.81,58,23.77,0
2024-01-18,Lambda,us-west-2,,,1.29,1.73,,,279,7.42,0
2024-01-18,DataTransfer,eu-west-1,,,1.0,2.23,,,442,11.28,0
2024-01-19,EC2,us-west-2,t3.medium,,0.76,0.17,88.93,46.2,882,29.09,0
2024-01-19,S3,us-east-1,,Glacier,1.34,1.18,,,853,17.65,0
2024-01-19,RDS,us-west-2,m5.large,,1.04,0.76,66.41,37.41,580,20.25,0
2024-01-19,Lambda,eu-west-1,,,1.0,0.51,,,803,5.38,0
2024-01-19,DataTransfer,us-west-2,,,0.74,1.19,,,878,8.15,0
2024-01-20,EC2,eu-west-1,t2.micro,,1.18,0.48,42.02,53.44,458,34.15,0
2024-01-20,S3,us-west-2,,Standard,1.37,0.02,,,721,13.22,0
2024-01-20,RDS,us-east-1,t2.micro,,0.93,0.09,83.97,84.34,725,13.39,0
2024-01-20,Lambda,eu-west-1,,,1.19,0.15,,,96,4.64,0
2024-01-20,DataTransfer,us-east-1,,,0.85,2.94,,,562,8.02,0
2024-01-21,EC2,us-west-2,m5.large,,1.33,0.09,32.48,86.53,407,38.52,0
2024-01-21,S3,us-east-1,,IA,0.83,0.93,,,747,8.48,0
2024-01-21,RDS,us-west-2,t2.micro,,1.38,1.97,65.85,57.53,978,20.96,0
2024-01-21,Lambda,us-east-1,,,1.27,1.37,,,974,5.58,0
2024-01-21,DataTransfer,us-east-1,,,1.34,8.23,,,643,14.43,0
2024-01-22,EC2,us-east-1,m5.large,,1.34,0.17,80.13,58.61,54,93.64,1
2024-01-22,S3,us-east-1,,IA,1.27,1.97,,,226,17.32,0
2024-01-22,RDS,eu-west-1,t2.micro,,1.22,0.79,76.33,59.84,978,24.07,0
2024-01-22,Lambda,us-west-2,,,0.73,0.27,,,454,3.88,0
2024-01-22,DataTransfer,eu-west-1,,,1.31,8.13,,,912,17.52,0
2024-01-23,EC2,eu-west-1,t2.micro,,1.11,1.45,70.57,46.45,134,43.75,0
2024-01-23,S3,us-west-2,,Standard,1.37,1.21,,,495,18.29,0
2024-01-23,RDS,us-east-1,t2.micro,,1.23,0.09,31.49,21.55,299,23.89,0
2024-01-23,Lambda,us-west-2,,,1.03,1.66,,,355,6.17,0
2024-01-23,DataTransfer,us-east-1,,,1.09,5.61,,,783,14.04,0
2024-01-24,EC2,us-east-1,m5.large,,0.72,1.51,59.62,69.29,484,28.76,0
2024-01-24,S3,us-west-2,,IA,1.13,1.27,,,384,15.23,0
2024-01-24,RDS,eu-west-1,m5.large,,1.33,0.7,51.12,74.86,591,26.27,0
2024-01-24,Lambda,eu-west-1,,,1.07,1.4,,,846,6.23,0
2024-01-24,DataTransfer,us-west-2,,,1.35,4.92,,,557,16.45,0
2024-01-25,EC2,us-east-1,t3.medium,,1.13,0.69,26.73,60.58,932,44.6,0
2024-01-25,S3,eu-west-1,,Glacier,1.11,0.8,,,961,14.82,0
2024-01-25,RDS,us-east-1,m5.large,,1.31,1.03,87.85,62.14,100,26.1,0
2024-01-25,Lambda,eu-west-1,,,1.28,0.69,,,731,6.98,0
2024-01-25,DataTransfer,us-east-1,,,0.72,5.49,,,694,10.26,0
2024-01-26,EC2,us-west-2,t3.medium,,0.95,1.01,65.23,22.75,298,37.86,0
2024-01-26,S3,us-west-2,,Glacier,1.06,0.31,,,97,13.95,0
2024-01-26,RDS,us-east-1,t2.micro,,0.89,1.61,69.86,32.92,768,18.29,0
2024-01-26,Lambda,eu-west-1,,,0.96,0.97,,,523,5.49,0
2024-01-26,DataTransfer,eu-west-1,,,1.07,7.21,,,715,14.78,0
2024-01-27,EC2,eu-west-1,m5.large,,1.18,1.69,69.97,22.13,323,35.59,0
2024-01-27,S3,eu-west-1,,Glacier,0.87,0.54,,,534,8.8,0
2024-01-27,RDS,us-west-2,m5.large,,0.93,0.42,36.2,28.38,194,13.83,0
2024-01-27,Lambda,us-east-1,,,1.12,1.36,,,116,5.05,0
2024-01-27,DataTransfer,us-east-1,,,1.05,0.87,,,160,8.66,0
2024-01-28,EC2,eu-west-1,t2.micro,,1.1,0.76,37.0,82.98,369,32.69,0
2024-01-28,S3,eu-west-1,,Standard,0.93,1.87,,,486,10.09,0
2024-01-28,RDS,us-west-2,t2.micro,,0.81,0.49,22.85,33.06,879,12.15,0
2024-01-28,Lambda,us-west-2,,,0.82,1.79,,,808,4.13,0
2024-01-28,DataTransfer,eu-west-1,,,1.07,4.1,,,597,10.45,0
2024-01-29,EC2,us-west-2,t3.medium,,1.1,1.83,10.42,88.25,655,44.44,0
2024-01-29,S3,eu-west-1,,IA,1.35,1.11,,,441,18.32,0
2024-01-29,RDS,us-west-2,m5.large,,1.29,0.41,87.44,69.77,773,25.59,0
2024-01-29,Lambda,us-east-1,,,1.22,1.06,,,50,6.92,0
2024-01-29,DataTransfer,us-west-2,,,1.24,0.87,,,943,13.45,0
2024-01-30,EC2,us-east-1,m5.large,,1.12,0.74,46.34,58.4,699,44.5,0
2024-01-30,S3,us-east-1,,IA,0.76,0.28,,,378,10.18,0
2024-01-30,RDS,us-east-1,t2.micro,,1.12,0.94,42.95,44.42,866,22.56,0
2024-01-30,Lambda,us-east-1,,,1.28,1.93,,,383,7.72,0
2024-01-30,DataTransfer,us-east-1,,,1.21,9.38,,,637,17.47,0
2024-01-31,EC2,us-east-1,t3.medium,,0.73,1.56,76.24,72.54,877,29.88,0
2024-01-31,S3,us-east-1,,Standard,1.27,1.33,,,459,17.46,0
2024-01-31,RDS,us-west-2,t2.micro,,1.31,0.78,75.33,50.74,575,26.45,0
2024-01-31,Lambda,eu-west-1,,,1.14,1.08,,,624,6.55,0
2024-01-31,DataTransfer,eu-west-1,,,1.1,3.55,,,552,13.46,0
2024-02-01,EC2,us-east-1,m5.large,,1.08,0.86,36.63,71.14,603,43.38,0
2024-02-01,S3,eu-west-1,,Glacier,1.13,1.07,,,280,15.57,0
2024-02-01,RDS,eu-west-1,t2.micro,,0.81,0.62,29.88,72.08,303,16.34,0
2024-02-01,Lambda,us-west-2,,,1.2,0.99,,,891,6.86,0
2024-02-01,DataTransfer,us-east-1,,,0.77,5.36,,,864,10.87,0
2024-02-02,EC2,eu-west-1,t2.micro,,1.08,0.97,42.72,74.03,460,43.47,0
2024-02-02,S3,eu-west-1,,IA,0.88,0.69,,,60,11.99,0
2024-02-02,RDS,us-west-2,t3.medium,,0.94,0.45,43.89,40.16,412,18.96,0
2024-02-02,Lambda,us-west-2,,,1.11,1.01,,,672,6.41,0
2024-02-02,DataTransfer,eu-west-1,,,1.35,5.65,,,373,17.21,0
2024-02-03,EC2,us-east-1,m5.large,,0.81,1.15,58.54,49.69,78,24.77,0
2024-02-03,S3,us-east-1,,IA,1.34,0.25,,,662,13.49,0
2024-02-03,RDS,us-east-1,t3.medium,,1.29,0.25,83.67,80.89,616,19.42,0
2024-02-03,Lambda,eu-west-1,,,1.11,0.8,,,358,4.85,0
2024-02-03,DataTransfer,us-east-1,,,0.84,7.88,,,715,10.69,0
2024-02-04,EC2,eu-west-1,t2.micro,,1.3,1.85,47.26,53.66,396,40.14,0
2024-02-04,S3,eu-west-1,,Glacier,1.02,0.28,,,713,10.33,0
2024-02-04,RDS,us-east-1,m5.large,,0.82,0.07,34.92,74.63,711,12.3,0
2024-02-04,Lambda,us-west-2,,,0.71,1.33,,,898,3.51,0
2024-02-04,DataTransfer,us-east-1,,,0.8,4.15,,,525,8.52,0
2024-02-05,EC2,us-east-1,m5.large,,1.12,0.13,70.0,34.69,772,44.94,0
2024-02-05,S3,us-west-2,,Standard,1.14,0.76,,,193,15.61,0
2024-02-05,RDS,eu-west-1,t3.medium,,0.91,1.43,52.21,57.41,162,18.91,0
2024-02-05,Lambda,us-west-2,,,1.05,1.53,,,693,6.38,0
2024-02-05,DataTransfer,us-east-1,,,0.93,0.76,,,692,10.39,0
2024-02-06,EC2,us-west-2,m5.large,,1.15,0.82,12.03,30.93,227,46.77,0
2024-02-06,S3,us-east-1,,Standard,0.86,0.46,,,492,11.72,0
2024-02-06,RDS,eu-west-1,t2.micro,,1.12,0.68,55.56,82.12,653,22.83,0
2024-02-06,Lambda,eu-west-1,,,1.2,1.61,,,137,7.27,0
2024-02-06,DataTransfer,us-west-2,,,1.12,8.07,,,961,16.09,0
2024-02-07,EC2,us-east-1,t3.medium,,0.84,0.59,81.71,20.91,824,34.35,0
2024-02-07,S3,us-east-1,,Glacier,0.79,1.75,,,334,11.46,0
2024-02-07,RDS,us-west-2,t3.medium,,1.34,1.25,36.87,77.76,756,27.63,0
2024-02-07,Lambda,eu-west-1,,,0.72,1.66,,,854,4.73,0
2024-02-07,DataTransfer,us-west-2,,,1.24,3.63,,,102,15.18,0
2024-02-08,EC2,us-west-2,t3.medium,,1.25,0.23,55.26,88.98,776,50.54,0
2024-02-08,S3,us-east-1,,IA,0.72,0.54,,,601,9.93,0
2024-02-08,RDS,us-west-2,t2.micro,,0.98,0.44,61.6,49.52,715,20.09,0
2024-02-08,Lambda,us-west-2,,,1.33,1.38,,,854,7.87,0
2024-02-08,DataTransfer,eu-west-1,,,1.28,5.3,,,91,16.42,0
2024-02-09,EC2,us-west-2,t3.medium,,1.09,1.3,76.38,34.45,923,44.79,0
2024-02-09,S3,eu-west-1,,Standard,0.89,1.46,,,659,12.72,0
2024-02-09,RDS,us-east-1,t2.micro,,1.05,1.15,77.05,48.31,751,21.79,0
2024-02-09,Lambda,us-west-2,,,1.0,0.71,,,871,5.74,0
2024-02-09,DataTransfer,eu-west-1,,,0.83,0.9,,,420,9.42,0
2024-02-10,EC2,us-east-1,m5.large,,0.9,0.71,67.52,40.8,276,27.87,0
2024-02-10,S3,eu-west-1,,Glacier,1.37,0.27,,,361,14.04,0
2024-02-10,RDS,us-east-1,t3.medium,,0.72,0.52,57.61,23.6,556,11.27,0
2024-02-10,Lambda,us-east-1,,,0.81,1.25,,,499,3.91,0
2024-02-10,DataTransfer,us-east-1,,,0.94,3.52,,,690,9.41,0
2024-02-11,EC2,eu-west-1,t3.medium,,1.02,0.15,16.22,20.16,484,31.31,0
2024-02-11,S3,us-west-2,,Glacier,0.92,1.61,,,866,10.19,0
